order_id,date,customer_id,product_id,quantity
1,2025-11-24,29,2,3
2,2025-05-06,58,9,1
3,2025-12-13,190,35,1
4,2025-10-30,109,3,1
5,2025-02-17,56,15,5
6,2025-11-05,7,36,2
7,2025-11-29,180,35,4
8,2025-04-23,115,38,3
9,2025-01-04,195,11,4
10,2025-06-24,72,10,2
11,2025-06-22,27,6,4
12,2025-02-19,92,23,5
13,2025-05-16,12,47,4
14,2025-10-02,32,25,1
15,2025-10-10,76,41,5
16,2025-07-05,148,13,1
17,2025-01-24,170,15,3
18,2025-02-10,60,7,4
19,2025-05-23,117,41,3
20,2025-03-25,95,23,2
21,2025-12-10,69,45,1
22,2025-11-08,163,11,5
23,2025-05-06,42,30,4
24,2025-05-19,164,45,5
25,2025-04-23,176,21,1
26,2025-04-28,9,21,4
27,2025-05-18,17,14,5
28,2025-06-11,55,42,4
29,2025-07-22,165,30,2
30,2025-05-16,36,16,5
31,2025-10-03,68,48,5
32,2025-08-08,150,26,3
33,2025-04-23,36,33,4
34,2025-02-16,194,4,1
35,2025-03-20,161,11,4
36,2025-11-02,17,25,4
37,2025-11-02,120,34,3
38,2025-10-11,3,44,1
39,2025-12-16,138,49,3
40,2025-11-25,88,8,3
41,2025-08-11,41,30,1
42,2025-05-15,129,49,2
43,2025-09-17,28,41,3
44,2025-11-24,130,39,2
45,2025-03-20,96,49,2
46,2025-10-04,200,34,1
47,2025-11-03,83,32,1
48,2025-02-27,93,20,2
49,2025-01-30,62,37,1
50,2025-02-13,188,32,1
51,2025-09-30,197,9,2
52,2025-12-04,122,36,2
53,2025-05-16,136,39,4
54,2025-04-19,139,49,2
55,2025-06-09,103,43,3
56,2025-08-13,133,29,1
57,2025-05-07,58,5,3
58,2025-01-11,151,36,2
59,2025-10-29,57,1,1
60,2025-12-29,162,4,2
61,2025-02-04,9,22,1
62,2025-09-21,61,18,4
63,2025-04-20,139,9,5
64,2025-10-23,122,16,4
65,2025-07-28,49,7,1
66,2025-12-04,111,23,4
67,2025-07-30,120,47,1
68,2025-12-11,168,42,1
69,2025-02-01,104,47,3
70,2025-02-25,64,13,2
71,2025-10-02,115,9,4
72,2025-04-04,72,30,2
73,2025-02-08,114,36,1
74,2025-01-26,167,35,1
75,2025-02-17,193,16,2
76,2025-07-28,125,31,2
77,2025-07-25,16,11,4
78,2025-01-02,100,17,4
79,2025-05-27,109,45,5
80,2025-12-05,184,32,2
81,2025-04-08,76,14,1
82,2025-10-24,189,35,1
83,2025-06-10,15,4,5
84,2025-09-02,129,34,2
85,2025-01-30,131,6,2
86,2025-02-05,153,5,2
87,2025-07-26,31,37,2
88,2025-10-24,153,3,5
89,2025-02-11,108,43,5
90,2025-10-17,134,21,3
91,2025-04-15,172,46,3
92,2025-05-03,68,26,2
93,2025-12-10,166,20,4
94,2025-06-11,193,5,1
95,2025-08-23,160,37,1
96,2025-02-07,138,14,5
97,2025-05-16,34,23,1
98,2025-05-06,95,19,2
99,2025-08-13,140,46,3
100,2025-11-10,168,34,1
101,2025-12-08,142,20,1
102,2025-03-10,68,8,1
103,2025-10-11,40,18,3
104,2025-11-06,54,46,3
105,2025-04-15,176,41,3
106,2025-09-16,126,17,1
107,2025-02-17,163,28,3
108,2025-01-23,1,22,2
109,2025-11-23,68,11,4
110,2025-10-10,181,28,5
111,2025-01-05,29,5,2
112,2025-10-07,10,24,5
113,2025-10-10,38,28,2
114,2025-01-22,79,24,1
115,2025-07-03,54,44,2
116,2025-12-08,27,23,5
117,2025-07-28,159,48,2
118,2025-05-02,42,12,4
119,2025-01-13,46,48,3
120,2025-07-30,172,48,2
121,2025-05-17,41,45,1
122,2025-07-15,10,31,2
123,2025-04-13,118,23,3
124,2025-04-27,58,2,2
125,2025-07-24,85,18,1
126,2025-05-23,90,42,5
127,2025-07-24,174,35,3
128,2025-01-15,30,17,2
129,2025-10-25,68,3,1
130,2025-11-02,112,23,3
131,2025-08-12,156,33,1
132,2025-07-17,148,13,3
133,2025-01-23,182,28,1
134,2025-09-24,138,44,2
135,2025-07-06,111,5,3
136,2025-11-16,81,43,1
137,2025-06-03,130,20,4
138,2025-06-17,104,45,3
139,2025-10-11,33,13,4
140,2025-12-07,98,44,2
141,2025-11-12,146,20,4
142,2025-10-08,1,20,3
143,2025-04-18,111,38,5
144,2025-12-02,83,30,4
145,2025-08-15,173,14,5
146,2025-08-31,189,11,1
147,2025-05-26,132,43,5
148,2025-06-21,24,49,2
149,2025-12-11,80,15,2
150,2025-03-17,7,3,2
151,2025-09-01,157,50,1
152,2025-08-22,107,41,5
153,2025-04-10,184,45,4
154,2025-09-11,103,16,2
155,2025-12-02,177,1,1
156,2025-08-06,57,12,5
157,2025-08-26,13,36,2
158,2025-03-04,117,9,4
159,2025-12-08,136,36,5
160,2025-06-12,194,29,5
161,2025-09-16,110,36,4
162,2025-03-23,191,31,4
163,2025-05-13,193,16,3
164,2025-09-24,125,41,2
165,2025-05-21,113,5,3
166,2025-05-01,70,22,3
167,2025-10-04,21,9,2
168,2025-04-29,99,45,2
169,2025-12-28,55,5,4
170,2025-07-28,85,35,4
171,2025-08-01,16,14,4
172,2025-07-19,198,38,1
173,2025-10-22,98,31,1
174,2025-06-30,77,49,4
175,2025-08-03,138,48,5
176,2025-11-05,57,32,2
177,2025-05-20,112,32,1
178,2025-07-19,87,43,4
179,2025-03-26,120,9,5
180,2025-10-01,7,26,5
181,2025-10-16,170,2,1
182,2025-11-26,110,9,4
183,2025-04-04,13,17,4
184,2025-06-17,55,30,3
185,2025-06-22,195,25,3
186,2025-08-04,65,6,4
187,2025-01-10,192,35,1
188,2025-06-29,58,42,1
189,2025-11-30,11,49,1
190,2025-05-07,52,2,5
191,2025-03-20,62,9,4
192,2025-12-09,30,37,2
193,2025-08-27,180,17,3
194,2025-03-27,156,39,1
195,2025-03-25,80,7,5
196,2025-01-14,80,37,4
197,2025-07-23,184,13,1
198,2025-10-31,177,41,2
199,2025-02-22,179,50,3
200,2025-12-17,154,8,5
201,2025-01-22,89,35,4
202,2025-12-05,95,5,5
203,2025-11-28,88,1,4
204,2025-09-08,28,28,3
205,2025-11-22,118,46,2
206,2025-08-11,46,47,5
207,2025-11-30,70,40,5
208,2025-09-05,120,28,5
209,2025-05-18,83,16,1
210,2025-05-23,116,16,4
211,2025-10-19,157,43,4
212,2025-06-22,8,32,3
213,2025-04-04,125,14,3
214,2025-05-13,88,18,5
215,2025-12-26,71,36,1
216,2025-09-22,49,6,2
217,2025-07-28,126,36,2
218,2025-12-20,122,42,4
219,2025-08-18,5,6,3
220,2025-04-24,104,45,2
221,2025-06-06,170,38,3
222,2025-08-31,142,34,3
223,2025-08-06,191,36,3
224,2025-06-30,180,30,3
225,2025-06-06,65,15,1
226,2025-04-09,81,8,5
227,2025-12-20,48,13,2
228,2025-09-05,71,47,5
229,2025-09-26,153,19,1
230,2025-04-10,76,15,3
231,2025-04-02,78,1,5
232,2025-03-06,71,3,1
233,2025-10-11,75,45,2
234,2025-11-23,193,32,1
235,2025-01-07,147,19,4
236,2025-09-03,113,22,2
237,2025-01-27,65,31,1
238,2025-02-03,103,32,1
239,2025-10-23,162,44,1
240,2025-03-19,39,37,3
241,2025-02-13,64,8,5
242,2025-08-02,156,39,5
243,2025-04-26,199,34,4
