order_id,date,customer_id,product_id,quantity
1,2025-01-01,29,2,3
2,2025-01-01,58,9,1
3,2025-01-02,190,35,1
4,2025-01-02,109,3,1
5,2025-01-02,56,15,5
6,2025-01-03,7,36,2
7,2025-01-03,180,35,4
8,2025-01-04,115,38,3
9,2025-01-04,195,11,4
10,2025-01-04,72,10,2
11,2025-01-05,27,6,4
12,2025-01-05,92,23,5
13,2025-01-05,12,47,4
14,2025-01-06,32,25,1
15,2025-01-06,76,41,5
16,2025-01-06,148,13,1
17,2025-01-07,170,15,3
18,2025-01-07,60,7,4
19,2025-01-08,117,41,3
20,2025-01-08,95,23,2
21,2025-01-08,69,45,1
22,2025-01-09,163,11,5
23,2025-01-09,42,30,4
24,2025-01-09,164,45,5
25,2025-01-10,176,21,1
26,2025-01-10,9,21,4
27,2025-01-10,17,14,5
28,2025-01-11,55,42,4
29,2025-01-11,165,30,2
30,2025-01-12,36,16,5
31,2025-01-12,68,48,5
32,2025-01-12,150,26,3
33,2025-01-13,36,33,4
34,2025-01-13,194,4,1
35,2025-01-13,161,11,4
36,2025-01-14,17,25,4
37,2025-01-14,120,34,3
38,2025-01-14,3,44,1
39,2025-01-15,138,49,3
40,2025-01-15,88,8,3
41,2025-01-16,41,30,1
42,2025-01-16,129,49,2
43,2025-01-16,28,41,3
44,2025-01-17,130,39,2
45,2025-01-17,96,49,2
46,2025-01-17,200,34,1
47,2025-01-18,83,32,1
48,2025-01-18,93,20,2
49,2025-01-18,62,37,1
50,2025-01-19,188,32,1
51,2025-01-19,197,9,2
52,2025-01-20,122,36,2
53,2025-01-20,136,39,4
54,2025-01-20,139,49,2
55,2025-01-21,103,43,3
56,2025-01-21,133,29,1
57,2025-01-21,58,5,3
58,2025-01-22,151,36,2
59,2025-01-22,57,1,1
60,2025-01-22,162,4,2
61,2025-01-23,9,22,1
62,2025-01-23,61,18,4
63,2025-01-24,139,9,5
64,2025-01-24,122,16,4
65,2025-01-24,49,7,1
66,2025-01-25,111,23,4
67,2025-01-25,120,47,1
68,2025-01-25,168,42,1
69,2025-01-26,104,47,3
70,2025-01-26,64,13,2
71,2025-01-27,115,9,4
72,2025-01-27,72,30,2
73,2025-01-27,114,36,1
74,2025-01-28,167,35,1
75,2025-01-28,193,16,2
76,2025-01-28,125,31,2
77,2025-01-29,16,11,4
78,2025-01-29,100,17,4
79,2025-01-29,109,45,5
80,2025-01-30,184,32,2
81,2025-01-30,76,14,1
82,2025-01-31,189,35,1
83,2025-01-31,15,4,5
84,2025-01-31,129,34,2
85,2025-02-01,131,6,2
86,2025-02-01,153,5,2
87,2025-02-01,31,37,2
88,2025-02-02,153,3,5
89,2025-02-02,108,43,5
90,2025-02-02,134,21,3
91,2025-02-03,172,46,3
92,2025-02-03,68,26,2
93,2025-02-04,166,20,4
94,2025-02-04,193,5,1
95,2025-02-04,160,37,1
96,2025-02-05,138,14,5
97,2025-02-05,34,23,1
98,2025-02-05,95,19,2
99,2025-02-06,140,46,3
100,2025-02-06,168,34,1
101,2025-02-06,142,20,1
102,2025-02-07,68,8,1
103,2025-02-07,40,18,3
104,2025-02-08,54,46,3
105,2025-02-08,176,41,3
106,2025-02-08,126,17,1
107,2025-02-09,163,28,3
108,2025-02-09,1,22,2
109,2025-02-09,68,11,4
110,2025-02-10,181,28,5
111,2025-02-10,29,5,2
112,2025-02-10,10,24,5
113,2025-02-11,38,28,2
114,2025-02-11,79,24,1
115,2025-02-12,54,44,2
116,2025-02-12,27,23,5
117,2025-02-12,159,48,2
118,2025-02-13,42,12,4
119,2025-02-13,46,48,3
120,2025-02-13,172,48,2
121,2025-02-14,41,45,1
122,2025-02-14,10,31,2
123,2025-02-14,118,23,3
124,2025-02-15,58,2,2
125,2025-02-15,85,18,1
126,2025-02-16,90,42,5
127,2025-02-16,174,35,3
128,2025-02-16,30,17,2
129,2025-02-17,68,3,1
130,2025-02-17,112,23,3
131,2025-02-17,156,33,1
132,2025-02-18,148,13,3
133,2025-02-18,182,28,1
134,2025-02-18,138,44,2
135,2025-02-19,111,5,3
136,2025-02-19,81,43,1
137,2025-02-20,130,20,4
138,2025-02-20,104,45,3
139,2025-02-20,33,13,4
140,2025-02-21,98,44,2
141,2025-02-21,146,20,4
142,2025-02-21,1,20,3
143,2025-02-22,111,38,5
144,2025-02-22,83,30,4
145,2025-02-22,173,14,5
146,2025-02-23,189,11,1
147,2025-02-23,132,43,5
148,2025-02-24,24,49,2
149,2025-02-24,80,15,2
150,2025-02-24,7,3,2
151,2025-02-25,157,50,1
152,2025-02-25,107,41,5
153,2025-02-25,184,45,4
154,2025-02-26,103,16,2
155,2025-02-26,177,1,1
156,2025-02-26,57,12,5
157,2025-02-27,13,36,2
158,2025-02-27,117,9,4
159,2025-02-28,136,36,5
160,2025-02-28,194,29,5
161,2025-02-28,110,36,4
162,2025-03-01,191,31,4
163,2025-03-01,193,16,3
164,2025-03-01,125,41,2
165,2025-03-02,113,5,3
166,2025-03-02,70,22,3
167,2025-03-02,21,9,2
168,2025-03-03,99,45,2
169,2025-03-03,55,5,4
170,2025-03-04,85,35,4
171,2025-03-04,16,14,4
172,2025-03-04,198,38,1
173,2025-03-05,98,31,1
174,2025-03-05,77,49,4
175,2025-03-05,138,48,5
176,2025-03-06,57,32,2
177,2025-03-06,112,32,1
178,2025-03-06,87,43,4
179,2025-03-07,120,9,5
180,2025-03-07,7,26,5
181,2025-03-08,170,2,1
182,2025-03-08,110,9,4
183,2025-03-08,13,17,4
184,2025-03-09,55,30,3
185,2025-03-09,195,25,3
186,2025-03-09,65,6,4
187,2025-03-10,192,35,1
188,2025-03-10,58,42,1
189,2025-03-11,11,49,1
190,2025-03-11,52,2,5
191,2025-03-11,62,9,4
192,2025-03-12,30,37,2
193,2025-03-12,180,17,3
194,2025-03-12,156,39,1
195,2025-03-13,80,7,5
196,2025-03-13,80,37,4
197,2025-03-13,184,13,1
198,2025-03-14,177,41,2
199,2025-03-14,179,50,3
200,2025-03-15,154,8,5
201,2025-03-15,89,35,4
202,2025-03-15,95,5,5
203,2025-03-16,88,1,4
204,2025-03-16,28,28,3
205,2025-03-16,118,46,2
206,2025-03-17,46,47,5
207,2025-03-17,70,40,5
208,2025-03-17,120,28,5
209,2025-03-18,83,16,1
210,2025-03-18,116,16,4
211,2025-03-19,157,43,4
212,2025-03-19,8,32,3
213,2025-03-19,125,14,3
214,2025-03-20,88,18,5
215,2025-03-20,71,36,1
216,2025-03-20,49,6,2
217,2025-03-21,126,36,2
218,2025-03-21,122,42,4
219,2025-03-21,5,6,3
220,2025-03-22,104,45,2
221,2025-03-22,170,38,3
222,2025-03-23,142,34,3
223,2025-03-23,191,36,3
224,2025-03-23,180,30,3
225,2025-03-24,65,15,1
226,2025-03-24,81,8,5
227,2025-03-24,48,13,2
228,2025-03-25,71,47,5
229,2025-03-25,153,19,1
230,2025-03-25,76,15,3
231,2025-03-26,78,1,5
232,2025-03-26,71,3,1
233,2025-03-27,75,45,2
234,2025-03-27,193,32,1
235,2025-03-27,147,19,4
236,2025-03-28,113,22,2
237,2025-03-28,65,31,1
238,2025-03-28,103,32,1
239,2025-03-29,162,44,1
240,2025-03-29,39,37,3
241,2025-03-29,64,8,5
242,2025-03-30,156,39,5
243,2025-03-30,199,34,4
244,2025-03-31,114,20,5
245,2025-03-31,79,37,5
246,2025-03-31,157,48,1
247,2025-04-01,161,14,3
248,2025-04-01,21,11,2
249,2025-04-01,142,5,2
250,2025-04-02,105,29,5
251,2025-04-02,75,3,2
252,2025-04-02,181,19,4
253,2025-04-03,176,15,3
254,2025-04-03,151,43,2
255,2025-04-04,30,35,2
256,2025-04-04,39,18,2
257,2025-04-04,16,11,3
258,2025-04-05,192,37,3
259,2025-04-05,32,30,3
260,2025-04-05,104,18,5
261,2025-04-06,127,29,1
262,2025-04-06,11,28,3
263,2025-04-06,65,2,1
264,2025-04-07,173,37,5
265,2025-04-07,196,44,3
266,2025-04-08,11,49,2
267,2025-04-08,133,42,4
268,2025-04-08,47,38,4
269,2025-04-09,126,6,4
270,2025-04-09,105,22,3
271,2025-04-09,27,11,3
272,2025-04-10,178,32,3
273,2025-04-10,103,49,5
274,2025-04-10,117,6,3
275,2025-04-11,83,8,4
276,2025-04-11,1,43,5
277,2025-04-12,106,4,2
278,2025-04-12,93,40,4
279,2025-04-12,114,49,1
280,2025-04-13,69,36,2
281,2025-04-13,113,45,4
282,2025-04-13,8,41,5
283,2025-04-14,182,11,3
284,2025-04-14,4,36,4
285,2025-04-14,58,8,4
286,2025-04-15,166,10,4
287,2025-04-15,131,46,3
288,2025-04-16,124,31,2
289,2025-04-16,142,10,4
290,2025-04-16,154,33,2
291,2025-04-17,71,50,4
292,2025-04-17,130,18,1
293,2025-04-17,186,20,5
294,2025-04-18,169,32,2
295,2025-04-18,138,31,3
296,2025-04-18,142,49,5
297,2025-04-19,117,21,2
298,2025-04-19,62,37,4
299,2025-04-20,199,27,1
300,2025-04-20,191,31,4
301,2025-04-20,170,42,2
302,2025-04-21,10,9,5
303,2025-04-21,85,7,4
304,2025-04-21,135,30,1
305,2025-04-22,105,42,2
306,2025-04-22,121,17,3
307,2025-04-22,178,26,1
308,2025-04-23,173,35,4
309,2025-04-23,161,46,4
310,2025-04-24,10,40,1
311,2025-04-24,162,44,3
312,2025-04-24,192,6,4
313,2025-04-25,195,41,1
314,2025-04-25,43,45,3
315,2025-04-25,12,21,1
316,2025-04-26,92,24,4
317,2025-04-26,63,34,4
318,2025-04-27,175,12,2
319,2025-04-27,21,40,4
320,2025-04-27,175,16,4
321,2025-04-28,37,15,4
322,2025-04-28,66,30,3
323,2025-04-28,3,30,3
324,2025-04-29,140,11,1
325,2025-04-29,89,38,3
326,2025-04-29,109,45,3
327,2025-04-30,78,13,4
328,2025-04-30,28,16,4
329,2025-05-01,92,37,3
330,2025-05-01,76,2,4
331,2025-05-01,3,37,1
332,2025-05-02,191,32,3
333,2025-05-02,156,23,2
334,2025-05-02,49,40,3
335,2025-05-03,194,47,2
336,2025-05-03,25,41,1
337,2025-05-03,113,3,5
338,2025-05-04,188,9,1
339,2025-05-04,84,48,4
340,2025-05-05,52,9,5
341,2025-05-05,136,33,3
342,2025-05-05,66,31,3
